Time,numa_numa_remote,numa_numa_local,numa_regular_remote,numa_regular_local,numa_reverse_remote,numa_reverse_local,regular_numa_remote,regular_numa_local,regular_regular_remote,regular_regular_local,regular_reverse_remote,regular_reverse_local
34.036735408,0,0,0,0,21789,191212,0,0,0,0,0,0
34.036767679,0,0,0,0,0,0,0,0,3049,134721,0,0
34.036908327,0,0,18835,178927,0,0,0,0,0,0,0,0
34.036959247,0,0,0,0,0,0,2821,134534,0,0,0,0
34.037065382,0,0,0,0,0,0,0,0,0,0,3087,137276
34.037090933,20819,187157,0,0,0,0,0,0,0,0,0,0
36.038918288,0,0,0,0,22052,185783,0,0,0,0,0,0
36.038943253,0,0,0,0,0,0,0,0,2754,135182,0,0
36.039085389,0,0,24974,189656,0,0,0,0,0,0,0,0
36.03914965,0,0,0,0,0,0,3191,135349,0,0,0,0
36.039260436,0,0,0,0,0,0,0,0,0,0,4412,133851
36.039268554,20813,181517,0,0,0,0,0,0,0,0,0,0
38.041107883,0,0,0,0,0,0,0,0,2910,134720,0,0
38.041110672,0,0,0,0,24722,187084,0,0,0,0,0,0
38.041259909,0,0,22953,179727,0,0,0,0,0,0,0,0
38.041322162,0,0,0,0,0,0,2986,134373,0,0,0,0
38.041402641,0,0,0,0,0,0,0,0,0,0,2884,135109
38.041455677,21734,180211,0,0,0,0,0,0,0,0,0,0
40.043241019,0,0,0,0,20233,189526,0,0,0,0,0,0
40.043276936,0,0,0,0,0,0,0,0,3179,133019,0,0
40.043435126,0,0,20609,178940,0,0,0,0,0,0,0,0
40.043486118,0,0,0,0,0,0,3113,130902,0,0,0,0
40.043609519,0,0,0,0,0,0,0,0,0,0,3243,135684
40.043647909,127547,256921,0,0,0,0,0,0,0,0,0,0
42.045415808,0,0,0,0,21875,183740,0,0,0,0,0,0
42.045446687,0,0,0,0,0,0,0,0,2873,124739,0,0
42.045606847,0,0,25582,192157,0,0,0,0,0,0,0,0
42.045624568,0,0,0,0,0,0,2714,124225,0,0,0,0
42.045803318,0,0,0,0,0,0,0,0,0,0,2911,125535
42.045829032,21681,186373,0,0,0,0,0,0,0,0,0,0
44.047574809,0,0,0,0,21036,184171,0,0,0,0,0,0
44.047606864,0,0,0,0,0,0,0,0,3121,123773,0,0
44.047784149,0,0,18925,179309,0,0,0,0,0,0,0,0
44.047795492,0,0,0,0,0,0,2554,123776,0,0,0,0
44.04798874,0,0,0,0,0,0,0,0,0,0,3102,125404
44.048005957,19811,188820,0,0,0,0,0,0,0,0,0,0
46.049748579,0,0,0,0,18361,178288,0,0,0,0,0,0
46.049779046,0,0,0,0,0,0,0,0,2902,121808,0,0
46.049968124,0,0,0,0,0,0,2914,121202,0,0,0,0
46.049981731,0,0,21590,182040,0,0,0,0,0,0,0,0
46.050185823,0,0,0,0,0,0,0,0,0,0,2796,122201
46.050208469,19098,179625,0,0,0,0,0,0,0,0,0,0
48.051923568,0,0,0,0,19951,173976,0,0,0,0,0,0
48.051942389,0,0,0,0,0,0,0,0,3065,121883,0,0
48.05214129,0,0,0,0,0,0,3129,121132,0,0,0,0
48.052151875,0,0,19997,176029,0,0,0,0,0,0,0,0
48.052366816,0,0,0,0,0,0,0,0,0,0,2973,121679
48.052397178,19851,174748,0,0,0,0,0,0,0,0,0,0
50.054094933,0,0,0,0,20253,183024,0,0,0,0,0,0
50.054114634,0,0,0,0,0,0,0,0,3268,122331,0,0
50.054305701,0,0,0,0,0,0,2744,122113,0,0,0,0
50.054322555,0,0,19565,173454,0,0,0,0,0,0,0,0
50.054562679,0,0,0,0,0,0,0,0,0,0,3020,123771
50.054585014,20763,184452,0,0,0,0,0,0,0,0,0,0
52.056272622,0,0,0,0,18404,170958,0,0,0,0,0,0
52.056285771,0,0,0,0,0,0,0,0,2663,122157,0,0
52.056468767,0,0,0,0,0,0,2555,121713,0,0,0,0
52.056491662,0,0,22541,176452,0,0,0,0,0,0,0,0
52.056725115,0,0,0,0,0,0,0,0,0,0,3217,120252
52.056776509,18349,169767,0,0,0,0,0,0,0,0,0,0
54.058443572,0,0,0,0,21969,177733,0,0,0,0,0,0
54.058453437,0,0,0,0,0,0,0,0,2804,122072,0,0
54.058642834,0,0,0,0,0,0,2765,121015,0,0,0,0
54.058666812,0,0,19643,171302,0,0,0,0,0,0,0,0
54.058935151,0,0,0,0,0,0,0,0,0,0,3510,123555
54.058949008,19208,172555,0,0,0,0,0,0,0,0,0,0
56.060615391,0,0,0,0,0,0,0,0,3295,123085,0,0
56.060623519,0,0,0,0,16863,170225,0,0,0,0,0,0
56.060812169,0,0,0,0,0,0,3073,122647,0,0,0,0
56.06084104,0,0,20066,174897,0,0,0,0,0,0,0,0
56.061116737,0,0,0,0,0,0,0,0,0,0,2884,123126
56.06112008,18267,174364,0,0,0,0,0,0,0,0,0,0
58.062787035,0,0,0,0,0,0,0,0,2904,121702,0,0
58.062805776,0,0,0,0,19572,171080,0,0,0,0,0,0
58.062987619,0,0,0,0,0,0,2773,120678,0,0,0,0
58.063007622,0,0,20781,171610,0,0,0,0,0,0,0,0
58.063306378,20050,171170,0,0,0,0,0,0,0,0,0,0
58.063324904,0,0,0,0,0,0,0,0,0,0,2918,122322
60.064951731,0,0,0,0,0,0,0,0,2987,122312,0,0
60.064975954,0,0,0,0,21775,180084,0,0,0,0,0,0
60.065168729,0,0,0,0,0,0,2670,121173,0,0,0,0
60.065182918,0,0,19772,172436,0,0,0,0,0,0,0,0
