[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[%"class.std::bad_alloc"* %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[%"class.std::bad_alloc"* %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN8MyVectorC2Eii[i32* %call][0]	4
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0].?/0	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0].?/0	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[i32 (...)*** %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[%"class.std::exception"* %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[i32 (...)*** %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[%"class.std::exception"* %exception]	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0].?/0.?/0	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorI8MyVectorLi3EE8allocateEm[%"class.std::bad_alloc"* %exception][0].?/0.?/0	8
[<<main-context>>, nil]	*typed_heap_alloc@_ZN13NumaAllocatorIiLi3EE8allocateEm[i32 (...)*** %exception][0]	8
