BST Results
Date, Time, DS_name, num_DS, num_threads, thread_config, DS_config, duration, crossover,keyspace, Op0, Op1, TotalOps
2025-01-31, 08:32:50, bst, 1024, 40, numa, regular, 20, 0, 1600000, 13886845, 24645634, 38532479
2025-01-31, 08:39:29, bst, 1024, 40, numa, regular, 20, 20, 1600000, 18291979, 28708658, 47000637
2025-01-31, 08:45:48, bst, 1024, 40, numa, regular, 20, 100, 1600000, 11921593, 25906471, 37828064
2025-01-31, 08:52:27, bst, 1024, 40, regular, numa, 20, 0, 1600000, 40529986, 41564607, 82094593
2025-01-31, 09:00:18, bst, 1024, 40, regular, numa, 20, 20, 1600000, 43445431, 46963771, 90409202
2025-01-31, 09:08:08, bst, 1024, 40, regular, numa, 20, 100, 1600000, 42741070, 45639458, 88380528
2025-01-31, 09:15:57, bst, 1024, 40, regular, regular, 20, 0, 1600000, 22041652, 12986354, 35028006
2025-01-31, 09:22:36, bst, 1024, 40, regular, regular, 20, 20, 1600000, 22197585, 12751052, 34948637
2025-01-31, 09:29:16, bst, 1024, 40, regular, regular, 20, 100, 1600000, 22760755, 26961526, 49722281
2025-01-31, 09:35:36, bst, 1024, 40, split, numa, 20, 0, 1600000, 39808012, 41811364, 81619376
2025-01-31, 09:43:26, bst, 1024, 40, split, numa, 20, 20, 1600000, 39964586, 41284763, 81249349
2025-01-31, 09:51:15, bst, 1024, 40, split, numa, 20, 100, 1600000, 42745708, 38970924, 81716632
2025-01-31, 09:59:04, bst, 1024, 40, split, regular, 20, 0, 1600000, 20039606, 20070027, 40109633
2025-01-31, 10:05:22, bst, 1024, 40, split, regular, 20, 20, 1600000, 20370386, 20308729, 40679115
2025-01-31, 10:11:41, bst, 1024, 40, split, regular, 20, 100, 1600000, 16186698, 16829969, 33016667

